Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,,,,
2010012267749,19-Jan-10,1/10/10 6:41,ORD,Chicago O'Hare International Airport,-,Property Damage,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010012267752,19-Jan-10,1/12/10 11:00,MCO,Orlando International Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010012267755,19-Jan-10,1/10/10 16:00,LAX,Los Angeles International Airport ,Air France,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010012267786,19-Jan-10,1/11/10 0:00,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,Other,-,-
2010012267795,19-Jan-10,1/10/10 0:00,EWR,Newark International Airport,Northwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010012267800,19-Jan-10,1/15/10 19:20,PHL,Philadelphia International Airport,British Airways  ,Property Damage,Checkpoint,Computer & Accessories,-,-
2010012267804,19-Jan-10,1/18/10 11:00,PBI,Palm Beach International,Northwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$75.00 ,Approve in Full
2010012267805,19-Jan-10,1/3/10 15:40,STL,Lambert St. Louis International,American Airlines  ,Passenger Property Loss,Checked Baggage,Cameras,$0.00 ,Deny
2010012267811,19-Jan-10,1/3/10 5:00,SAN,San Diego International,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Other,$0.00 ,Deny
2010012267812,19-Jan-10,1/10/10 7:50,LAS,McCarran International,Jet Blue,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010012567819,19-Jan-10,1/10/10 19:50,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Currency,$0.00 ,Deny
2010012567820,19-Jan-10,1/11/10 19:00,MCO,Orlando International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2010012567821,19-Jan-10,1/7/10 0:00,PIT,Pittsburgh International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Toys & Games,-,-
